File ID,Cloud Free (Y/N/P),Coverage of lakes,Snow Cover (Y/N/P),Change in Sediment Cover? ,Date (YYYYMMDD),Notes
LANDSAT_8_2016-11-02,Y,All,N,N,,
LANDSAT_8_2016-11-04,Y,All,N,N,,
LANDSAT_8_2016-11-06,Y,All,N,N,,
LANDSAT_8_2016-11-08,Y,All,N,,,
LANDSAT_8_2016-11-11,N,All,,,,
LANDSAT_8_2016-11-13,Y,All,N,N,,
LANDSAT_8_2016-11-15,Y,All,N,,,
LANDSAT_8_2016-11-17,N,,,,,
LANDSAT_8_2016-11-18,N,,,,,
LANDSAT_8_2016-11-20,N,,,,,
LANDSAT_8_2016-11-22,Y,All,Y,,,
LANDSAT_8_2016-11-24,Y,All,Y,,,
LANDSAT_8_2016-11-27,Y,All,Y,,,No snow cover on Lake Bonney
LANDSAT_8_2016-11-29,P,LB,N,,,no cloud cover over lake Bonney
LANDSAT_8_2016-12-01,P,"LB, LH",N,,,
LANDSAT_8_2016-12-03,Y,LF,Y,,,
LANDSAT_8_2016-12-04,N,"LB, LH",,,,
LANDSAT_8_2016-12-06,N,,,,,
LANDSAT_8_2016-12-08,Y,All,P,,,"Light dusting of snow on LF, LH. Could also just be ice whitening"
LANDSAT_8_2016-12-10,Y,All,N,,,Maybe a light dusting of snow. LB clear. 
LANDSAT_8_2016-12-13,Y,All,N,,,
LANDSAT_8_2016-12-15,Y,All,N,,,
LANDSAT_8_2016-12-17,Y,All,N,Y,,
LANDSAT_8_2016-12-19,Y,LF,N,,,
LANDSAT_8_2016-12-20,N,,,,,
LANDSAT_8_2016-12-22,N,,,,,
LANDSAT_8_2016-12-24,Y,All,N,,,
LANDSAT_8_2016-12-26,N,,,,,
LANDSAT_8_2016-12-29,N,,,,,
LANDSAT_8_2016-12-31,N,,,,,
LANDSAT_8_2017-01-02,Y,All,N,,,
LANDSAT_8_2017-01-04,N,,,,,
LANDSAT_8_2017-01-05,P,All,,,,Fog? Slight cloud cover. May still be usable. 
LANDSAT_8_2017-01-07,N,,,,,
LANDSAT_8_2017-01-09,P,LF,N,,,"Cloud cover over LH, LB. "
LANDSAT_8_2017-01-11,Y,All,N,,,
LANDSAT_8_2017-01-14,Y,All,N,,,
LANDSAT_8_2017-01-16,P,All,N,,,Hazy cloud cover. 
LANDSAT_8_2017-01-18,Y,All,N,,,
LANDSAT_8_2017-01-20,N,N,,,,
LANDSAT_8_2017-01-21,P,All,,,,Hazy cloud cover. 
LANDSAT_8_2017-01-23,N,,,,,
LANDSAT_8_2017-01-25,Y,All,N,,,
LANDSAT_8_2017-01-27,Y,All,N,Y,,
LANDSAT_8_2017-01-30,Y,All,N,,,
LANDSAT_8_2017-02-01,Y,"LH, LF",N,,,
LANDSAT_8_2017-10-31,N,,,,,
LANDSAT_8_2017-11-04,Y,LF,N,,,
LANDSAT_8_2017-11-05,N,All,,,,
LANDSAT_8_2017-11-07,Y,All,N,,,
LANDSAT_8_2017-11-09,N,All,,,,
LANDSAT_8_2017-11-11,N,All,,,,
LANDSAT_8_2017-11-14,N,,,,,
LANDSAT_8_2017-11-16,N,All,,,,
LANDSAT_8_2017-11-18,Y,All,N,,,
LANDSAT_8_2017-11-20,Y,LF,N,,,
LANDSAT_8_2017-11-21,Y,All,N,Yes,,
LANDSAT_8_2017-11-23,P,LB,N,,,
LANDSAT_8_2017-11-25,Y,All,N,LH,,
LANDSAT_8_2017-11-27,Y,All,N,,,
LANDSAT_8_2017-11-30,Y,All,N,,,
LANDSAT_8_2017-12-02,Y,All,N,,,
LANDSAT_8_2017-12-04,N,All,,,,
LANDSAT_8_2017-12-06,N,LF,,,,
LANDSAT_8_2017-12-07,Y,All,N,,,
LANDSAT_8_2017-12-09,N,All,,,,
LANDSAT_8_2017-12-11,N,All,,,,
LANDSAT_8_2017-12-13,P,LB,N,,,
LANDSAT_8_2017-12-16,Y,All,N,,,
LANDSAT_8_2017-12-18,N,All,N,,,
LANDSAT_8_2017-12-20,N,All,,,,
LANDSAT_8_2017-12-22,N,,,,,
LANDSAT_8_2017-12-23,Y,All,N,,,
LANDSAT_8_2017-12-25,N,All,,,,
LANDSAT_8_2017-12-27,N,All,,,,
LANDSAT_8_2017-12-29,N,All,,,,
LANDSAT_8_2018-01-01,P,"LH, LF",N,,,
LANDSAT_8_2018-01-03,Y,All,N,,,
LANDSAT_8_2018-01-05,Y,All,N,,,
LANDSAT_8_2018-01-07,Y,LF,N,,,
LANDSAT_8_2018-01-08,N,All,,,,
LANDSAT_8_2018-01-10,Y,All,N,,,
LANDSAT_8_2018-01-12,Y,All,N,,,
LANDSAT_8_2018-01-14,Y,All,N,,,
LANDSAT_8_2018-01-17,P,All,N,,,Hazy cloud cover. 
LANDSAT_8_2018-01-19,Y,All,N,,,
LANDSAT_8_2018-01-21,N,All,,,,
LANDSAT_8_2018-01-23,Y,N,,,,
LANDSAT_8_2018-01-24,N,,,,,
LANDSAT_8_2018-01-26,Y,All,N,,,
LANDSAT_8_2018-01-28,N,All,,,,
LANDSAT_8_2018-01-30,Y,All,N,,,
LANDSAT_8_2018-02-02,N,,,,,
LANDSAT_8_2018-02-04,Y,"LH, LF",,,,
LANDSAT_8_2018-11-01,N,All,,,,
LANDSAT_8_2018-11-03,N,All,,,,
LANDSAT_8_2018-11-05,Y,All,N,,,
LANDSAT_8_2018-11-07,Y,LF,N,,,
LANDSAT_8_2018-11-08,Y,All,N,,,
LANDSAT_8_2018-11-10,N,All,,,,
LANDSAT_8_2018-11-12,Y,All,N,,,Sparse cloud cover. Clear over lakes. 
LANDSAT_8_2018-11-14,N,All,,,,
LANDSAT_8_2018-11-17,Y,All,N,,,
LANDSAT_8_2018-11-19,Y,All,N,,,
LANDSAT_8_2018-11-21,N,All,,,,
LANDSAT_8_2018-11-23,Y,LH,N,,,
LANDSAT_8_2018-11-24,Y,All,N,,,
LANDSAT_8_2018-11-26,Y,All,N,,,
LANDSAT_8_2018-11-28,Y,All,N,,,
LANDSAT_8_2018-11-30,Y,All,N,,,
LANDSAT_8_2018-12-03,N,All,,,,
LANDSAT_8_2018-12-05,Y,All,N,,,
LANDSAT_8_2018-12-07,N,All,N,,,
113:,,,,,,
LANDSAT_8_2018-12-09,N,LF,,,,
114:,,,,,,
LANDSAT_8_2018-12-10,N,All,N,,,
115:,,,,,,
LANDSAT_8_2018-12-12,N,All,N,,,
116:,,,,,,
LANDSAT_8_2018-12-14,N,All,N,,,
117:,,,,,,
LANDSAT_8_2018-12-16,P,All,N,,,Hazy cloud cover. 
118:,,,,,,
LANDSAT_8_2018-12-19,P,LF,N,,,
119:,,,,,,
LANDSAT_8_2018-12-21,P,"LH, LF",N,,,
120:,,,,,,
LANDSAT_8_2018-12-23,N,All,N,,,
121:,,,,,,
LANDSAT_8_2018-12-25,N,LF,N,,,
122:,,,,,,
LANDSAT_8_2018-12-26,P,LH,N,,,
123:,,,,,,
LANDSAT_8_2018-12-28,N,All,,,,
124:,,,,,,
LANDSAT_8_2018-12-30,Y,All,N,,,
125:,,,,,,
LANDSAT_8_2019-01-01,Y,All,N,,,
126:,,,,,,
LANDSAT_8_2019-01-04,Y,All,N,,,
127:,,,,,,
LANDSAT_8_2019-01-06,Y,All,N,,,
128:,,,,,,
LANDSAT_8_2019-01-08,P,LB,N,,,
129:,,,,,,
LANDSAT_8_2019-01-10,Y,LF,N,,,
130:,,,,,,
LANDSAT_8_2019-01-11,Y,All,N,,,
131:,,,,,,
LANDSAT_8_2019-01-13,N,All,,,,
132:,,,,,,
LANDSAT_8_2019-01-15,Y,All,N,,,
133:,,,,,,
LANDSAT_8_2019-01-17,N,All,,,,
134:,,,,,,
LANDSAT_8_2019-01-20,N,All,,,,
135:,,,,,,
LANDSAT_8_2019-01-22,P,All,N,,,Hazy cloud cover
136:,,,,,,
LANDSAT_8_2019-01-24,Y,All,N,,,
137:,,,,,,
LANDSAT_8_2019-01-26,Y,LF,N,,,Covers 90% of LF. 
138:,,,,,,
LANDSAT_8_2019-01-27,P,LF,N,,,LF is clear. 
139:,,,,,,
LANDSAT_8_2019-01-29,N,All,,,,
140:,,,,,,
LANDSAT_8_2019-01-31,N,All,,,,
141:,,,,,,
LANDSAT_8_2019-02-05,N,All,,,,
142:,,,,,,
LANDSAT_8_2019-11-04,Y,All,Y,heavy sediment cover,,
143:,,,,,,
LANDSAT_8_2019-11-06,Y,All,N,heavy sediment cover,,
144:,,,,,,
LANDSAT_8_2019-11-08,Y,All,N,,,
145:,,,,,,
LANDSAT_8_2019-11-10,Y,LF,N,,,
146:,,,,,,
LANDSAT_8_2019-11-11,Y,All,N,,,
147:,,,,,,
LANDSAT_8_2019-11-13,N,All,,,,
148:,,,,,,
LANDSAT_8_2019-11-15,Y,All,N,,,
149:,,,,,,
LANDSAT_8_2019-11-17,Y,All,N,,,
150:,,,,,,
LANDSAT_8_2019-11-20,N,All,N,,,
151:,,,,,,
LANDSAT_8_2019-11-22,P,LB,N,,,
152:,,,,,,
LANDSAT_8_2019-11-24,Y,All,N,,,
153:,,,,,,
LANDSAT_8_2019-11-26,Y,LF,N,,,
154:,,,,,,
LANDSAT_8_2019-11-27,Y,All,N,,,
155:,,,,,,
LANDSAT_8_2019-11-29,N,All,,,,
156:,,,,,,
LANDSAT_8_2019-12-01,N,All,,,,
157:,,,,,,
LANDSAT_8_2019-12-03,Y,All,N,,,
158:,,,,,,
LANDSAT_8_2019-12-06,P,LB,N,,,
159:,,,,,,
LANDSAT_8_2019-12-08,N,,,,,
160:,,,,,,
LANDSAT_8_2019-12-10,Y,All,Y,,,
161:,,,,,,
LANDSAT_8_2019-12-12,N,LF,N,,,
162:,,,,,,
LANDSAT_8_2019-12-13,N,All,,,,
163:,,,,,,
LANDSAT_8_2019-12-15,N,All,,,,
164:,,,,,,
LANDSAT_8_2019-12-17,Y,All,N,,,
165:,,,,,,
LANDSAT_8_2019-12-24,Y,All,N,,,
166:,,,,,,
LANDSAT_8_2019-12-26,Y,All,N,,,
167:,,,,,,
LANDSAT_8_2019-12-28,N,LF,,,,
168:,,,,,,
LANDSAT_8_2019-12-29,P,LF,N,,,
169:,,,,,,
LANDSAT_8_2019-12-31,Y,All,N,,,
170:,,,,,,
LANDSAT_8_2020-01-02,Y,All,N,,,
171:,,,,,,
LANDSAT_8_2020-01-04,P,"LB, LF",N,,,
172:,,,,,,
LANDSAT_8_2020-01-07,N,All,,,,
173:,,,,,,
LANDSAT_8_2020-01-09,N,All,N,,,
174:,,,,,,
LANDSAT_8_2020-01-11,Y,All,N,,,
175:,,,,,,
LANDSAT_8_2020-01-13,N,LF,,,,
176:,,,,,,
LANDSAT_8_2020-01-14,N,All,,,,
177:,,,,,,
LANDSAT_8_2020-01-16,N,All,,,,
178:,,,,,,
LANDSAT_8_2020-01-18,P,LB,,,,
179:,,,,,,
LANDSAT_8_2020-01-20,Y,All,N,,,
180:,,,,,,
LANDSAT_8_2020-01-23,P,All,N,,,Hazy cloud cover
181:,,,,,,
LANDSAT_8_2020-01-25,P,All,N,,,Hazy cloud cover. 
182:,,,,,,
LANDSAT_8_2020-01-27,P,LB,N,,,Hazy cloud cover. 
183:,,,,,,
LANDSAT_8_2020-01-29,P,N,,,,
184:,,,,,,
LANDSAT_8_2020-01-30,N,All,,,,
185:,,,,,,
LANDSAT_8_2020-02-01,N,,,,,
186:,,,,,,
LANDSAT_8_2020-02-03,,N,,,,
187:,,,,,,
LANDSAT_8_2020-10-30,Y,All,N,,,
188:,,,,,,
LANDSAT_8_2020-11-06,N,All,,,,
189:,,,,,,
LANDSAT_8_2020-11-08,Y,All,P,,,Light slow cover. 
190:,,,,,,
LANDSAT_8_2020-11-10,N,All,,,,Hazy cloud cover. 
191:,,,,,,
LANDSAT_8_2020-11-15,Y,All,N,,,
192:,,,,,,
LANDSAT_8_2020-11-17,Y,All,N,,,
193:,,,,,,
LANDSAT_8_2020-11-19,Y,All,N,,,
194:,,,,,,
LANDSAT_8_2020-11-22,P,All,P,,,Hazy cloud cover. 
195:,,,,,,
LANDSAT_8_2020-11-24,Y,All,N,,,
196:,,,,,,
LANDSAT_8_2020-11-26,Y,All,N,,,
197:,,,,,,
LANDSAT_8_2020-11-28,Y,LF,N,,,
198:,,,,,,
LANDSAT_8_2020-11-29,Y,All,N,,,
199:,,,,,,
LANDSAT_8_2020-12-01,Y,All,N,,,
200:,,,,,,
LANDSAT_8_2020-12-03,Y,All,N,,,
201:,,,,,,
LANDSAT_8_2020-12-05,P,All,N,,,Hazy cloud cover
202:,,,,,,
LANDSAT_8_2020-12-08,Y,All,N,,,
203:,,,,,,
LANDSAT_8_2020-12-10,Y,All,N,,,
204:,,,,,,
LANDSAT_8_2020-12-12,N,All,,,,
205:,,,,,,
LANDSAT_8_2020-12-14,Y,LF,N,,,
206:,,,,,,
LANDSAT_8_2020-12-15,Y,All,N,,,
207:,,,,,,
LANDSAT_8_2020-12-17,P,LB,N,,,
208:,,,,,,
LANDSAT_8_2020-12-19,P,All,N,,,Hazy cloud cover. Image could still be usable.
209:,,,,,,
LANDSAT_8_2020-12-21,Y,All,N,,,
210:,,,,,,
LANDSAT_8_2020-12-24,Y,All,N,,,
211:,,,,,,
LANDSAT_8_2020-12-26,Y,All,N,,,
212:,,,,,,
LANDSAT_8_2020-12-28,N,All,,,,
213:,,,,,,
LANDSAT_8_2020-12-30,Y,LF,N,,,
214:,,,,,,
LANDSAT_8_2020-12-31,P,All,,,,
215:,,,,,,
LANDSAT_8_2021-01-02,N,All,,,,
216:,,,,,,
LANDSAT_8_2021-01-04,N,All,,,,
217:,,,,,,
LANDSAT_8_2021-01-06,Y,All,N,,,
218:,,,,,,
LANDSAT_8_2021-01-09,N,All,,,,
219:,,,,,,
LANDSAT_8_2021-01-11,N,,,,,
220:,,,,,,
LANDSAT_8_2021-01-13,Y,All,N,,,
221:,,,,,,
LANDSAT_8_2021-01-15,Y,LF partial,N,,,
222:,,,,,,
LANDSAT_8_2021-01-16,Y,All,N,,,
223:,,,,,,
LANDSAT_8_2021-01-18,Y,All,N,,,Hazy cloud cover. 
224:,,,,,,
LANDSAT_8_2021-01-20,N,All,,,,
225:,,,,,,
LANDSAT_8_2021-01-22,Y,All,N,,,
226:,,,,,,
LANDSAT_8_2021-01-25,N,,,,,
227:,,,,,,
LANDSAT_8_2021-01-27,P,"LB, LH",N,,,
228:,,,,,,
LANDSAT_8_2021-01-29,N,,,,,
229:,,,,,,
LANDSAT_8_2021-01-31,N,,,,,
230:,,,,,,
LANDSAT_8_2021-02-01,Y,All,N,,,
231:,,,,,,
LANDSAT_8_2021-02-03,N,All,,,,
232:,,,,,,
LANDSAT_8_2021-10-31,Y,All,N,Heavy sediment cover,,
233:,,,,,,
LANDSAT_8_2021-11-02,N,All,,,,
234:,,,,,,
LANDSAT_8_2021-11-04,Y,All,N,,,
235:,,,,,,
LANDSAT_8_2021-11-06,N,All,,,,
236:,,,,,,
LANDSAT_8_2021-11-09,Y,All,N,,,
237:,,,,,,
LANDSAT_8_2021-11-11,Y,All,N,,,
238:,,,,,,
LANDSAT_8_2021-11-15,Y,LF,N,,,
239:,,,,,,
LANDSAT_8_2021-11-16,N,All,,,,
240:,,,,,,
LANDSAT_8_2021-11-18,P,LB,N,,,
241:,,,,,,
LANDSAT_8_2021-11-20,Y,All,N,,,
